Net 1 Epoch 0/50 Training: Batch 364/2048. Total Loss 0.4608, Localization Loss 0.0000, Cover Loss 0.2144, Recover Loss 0.2464, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 368/2048. Total Loss 1.2410, Localization Loss 0.0000, Cover Loss 0.5726, Recover Loss 0.6684, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 372/2048. Total Loss 0.7194, Localization Loss 0.0000, Cover Loss 0.2921, Recover Loss 0.4273, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 376/2048. Total Loss 0.7239, Localization Loss 0.0000, Cover Loss 0.3584, Recover Loss 0.3656, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 380/2048. Total Loss 0.6269, Localization Loss 0.0000, Cover Loss 0.2736, Recover Loss 0.3533, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 384/2048. Total Loss 0.5901, Localization Loss 0.0000, Cover Loss 0.2273, Recover Loss 0.3628, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 388/2048. Total Loss 0.5658, Localization Loss 0.0000, Cover Loss 0.2449, Recover Loss 0.3208, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 392/2048. Total Loss 0.8393, Localization Loss 0.0000, Cover Loss 0.3506, Recover Loss 0.4887, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 396/2048. Total Loss 0.9475, Localization Loss 0.0000, Cover Loss 0.4093, Recover Loss 0.5382, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 400/2048. Total Loss 0.4656, Localization Loss 0.0000, Cover Loss 0.1983, Recover Loss 0.2673, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 404/2048. Total Loss 0.6262, Localization Loss 0.0000, Cover Loss 0.2491, Recover Loss 0.3771, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 408/2048. Total Loss 0.8546, Localization Loss 0.0000, Cover Loss 0.3743, Recover Loss 0.4803, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 412/2048. Total Loss 0.3308, Localization Loss 0.0000, Cover Loss 0.1254, Recover Loss 0.2053, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 416/2048. Total Loss 0.7418, Localization Loss 0.0000, Cover Loss 0.2780, Recover Loss 0.4638, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 420/2048. Total Loss 0.6751, Localization Loss 0.0000, Cover Loss 0.3041, Recover Loss 0.3710, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 424/2048. Total Loss 1.0072, Localization Loss 0.0000, Cover Loss 0.5025, Recover Loss 0.5047, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 428/2048. Total Loss 0.6831, Localization Loss 0.0000, Cover Loss 0.2574, Recover Loss 0.4257, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 432/2048. Total Loss 0.5539, Localization Loss 0.0000, Cover Loss 0.1868, Recover Loss 0.3671, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 436/2048. Total Loss 0.7453, Localization Loss 0.0000, Cover Loss 0.3541, Recover Loss 0.3913, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 440/2048. Total Loss 1.1957, Localization Loss 0.0000, Cover Loss 0.5739, Recover Loss 0.6218, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 444/2048. Total Loss 0.8494, Localization Loss 0.0000, Cover Loss 0.3853, Recover Loss 0.4641, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 448/2048. Total Loss 0.5615, Localization Loss 0.0000, Cover Loss 0.2674, Recover Loss 0.2941, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 452/2048. Total Loss 0.3329, Localization Loss 0.0000, Cover Loss 0.1298, Recover Loss 0.2031, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 456/2048. Total Loss 0.4132, Localization Loss 0.0000, Cover Loss 0.1769, Recover Loss 0.2363, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 460/2048. Total Loss 0.6479, Localization Loss 0.0000, Cover Loss 0.2513, Recover Loss 0.3966, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 464/2048. Total Loss 0.6435, Localization Loss 0.0000, Cover Loss 0.2883, Recover Loss 0.3552, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 468/2048. Total Loss 0.3107, Localization Loss 0.0000, Cover Loss 0.1270, Recover Loss 0.1837, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 472/2048. Total Loss 0.5065, Localization Loss 0.0000, Cover Loss 0.1873, Recover Loss 0.3192, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 476/2048. Total Loss 1.3281, Localization Loss 0.0000, Cover Loss 0.5883, Recover Loss 0.7398, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 480/2048. Total Loss 0.8117, Localization Loss 0.0000, Cover Loss 0.3573, Recover Loss 0.4545, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 484/2048. Total Loss 0.4910, Localization Loss 0.0000, Cover Loss 0.2024, Recover Loss 0.2886, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 488/2048. Total Loss 0.4885, Localization Loss 0.0000, Cover Loss 0.1974, Recover Loss 0.2911, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 492/2048. Total Loss 0.5421, Localization Loss 0.0000, Cover Loss 0.2451, Recover Loss 0.2970, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 496/2048. Total Loss 0.4286, Localization Loss 0.0000, Cover Loss 0.1546, Recover Loss 0.2741, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 500/2048. Total Loss 0.5191, Localization Loss 0.0000, Cover Loss 0.2042, Recover Loss 0.3149, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 504/2048. Total Loss 0.7342, Localization Loss 0.0000, Cover Loss 0.2831, Recover Loss 0.4511, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 508/2048. Total Loss 2.0154, Localization Loss 0.0000, Cover Loss 0.9391, Recover Loss 1.0763, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 512/2048. Total Loss 0.6083, Localization Loss 0.0000, Cover Loss 0.2305, Recover Loss 0.3778, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 516/2048. Total Loss 0.6648, Localization Loss 0.0000, Cover Loss 0.2869, Recover Loss 0.3779, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 520/2048. Total Loss 0.6942, Localization Loss 0.0000, Cover Loss 0.2625, Recover Loss 0.4317, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 524/2048. Total Loss 0.5706, Localization Loss 0.0000, Cover Loss 0.2742, Recover Loss 0.2964, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 528/2048. Total Loss 0.5093, Localization Loss 0.0000, Cover Loss 0.1849, Recover Loss 0.3244, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
